"","name","born","died","Age_at_Death"
"1","Edmund Barton",1849,1920,71
"2","Alfred Deakin",1856,1919,63
"3","Chris Watson",1867,1941,74
"4","George Reid",1845,1918,73
"5","Andrew Fisher",1862,1928,66
"6","Joseph Cook",1860,1947,87
"7","Billy Hughes",1862,1952,90
"8","Stanley Bruce",1883,1967,84
"9","James Scullin",1876,1953,77
"10","Joseph Lyons",1879,1939,60
"11","Earle Page",1880,1961,81
"12","Robert Menzies",1894,1978,84
"13","Arthur Fadden",1894,1973,79
"14","John Curtin",1885,1945,60
"15","Frank Forde",1890,1983,93
"16","Ben Chifley",1885,1951,66
"17","Harold Holt",1908,1967,59
"18","John McEwen",1900,1980,80
"19","John Gorton",1911,2002,91
"20","William McMahon",1908,1988,80
"21","Gough Whitlam",1916,2014,98
"22","Malcolm Fraser",1930,2015,85
"23","Bob Hawke",1929,2019,90
"24","Paul Keating",NA,NA,NA
"25","John Howard",NA,NA,NA
"26","Kevin Rudd",NA,NA,NA
"27","Julia Gillard",NA,NA,NA
"28","Tony Abbott",NA,NA,NA
"29","Malcolm Turnbull",NA,NA,NA
"30","Scott Morrison",NA,NA,NA
"31","Anthony Albanese",NA,NA,NA
